name,rss_url,domain,category,already_in_docuaction
Axios,https://api.axios.com/feed/,api.axios.com,Major News/Wire,True
CNN Tech,https://rss.cnn.com/rss/cnn_tech.rss,rss.cnn.com,Major News/Wire,False
CBS News Tech,https://www.cbsnews.com/latest/rss/tech,cbsnews.com,Major News/Wire,False
NBC News Tech,https://feeds.nbcnews.com/nbcnews/public/tech,feeds.nbcnews.com,Major News/Wire,False
ABC News Tech,https://abcnews.go.com/abcnews/technologyheadlines,abcnews.go.com,Major News/Wire,False
Fox Business,https://moxie.foxbusiness.com/google-publisher/technology.xml,moxie.foxbusiness.com,Major News/Wire,False
USA Today Tech,https://rssfeeds.usatoday.com/UsatodaycomTech-TopStories,rssfeeds.usatoday.com,Major News/Wire,False
NPR Technology,https://feeds.npr.org/1019/rss.xml,feeds.npr.org,Major News/Wire,True
NPR Business,https://feeds.npr.org/1006/rss.xml,feeds.npr.org,Major News/Wire,True
Forbes Tech,https://www.forbes.com/innovation/feed/,forbes.com,Major News/Wire,False
Fortune,https://fortune.com/feed/,fortune.com,Major News/Wire,False
MarketWatch,https://feeds.content.dowjones.io/public/rss/mw_topstories,feeds.content.dowjones.io,Major News/Wire,False
CNBC Tech,https://www.cnbc.com/id/19854910/device/rss/rss.html,cnbc.com,Major News/Wire,True
CNBC Telecom,https://www.cnbc.com/id/10000108/device/rss/rss.html,cnbc.com,Major News/Wire,True
Dark Reading,https://www.darkreading.com/rss.xml,darkreading.com,Cybersecurity,False
Security Week,https://www.securityweek.com/feed/,securityweek.com,Cybersecurity,False
Cybersecurity Dive,https://www.cybersecuritydive.com/feeds/news/,cybersecuritydive.com,Cybersecurity,False
SC Magazine,https://www.scmagazine.com/feed/,scmagazine.com,Cybersecurity,False
Cyber Defense Magazine,https://www.cyberdefensemagazine.com/feed/,cyberdefensemagazine.com,Cybersecurity,False
Multichannel News,https://www.nexttv.com/rss/multichannel,nexttv.com,General,False
Broadcasting & Cable,https://www.nexttv.com/rss/broadcasting-cable,nexttv.com,General,False
Communications Daily,https://communicationsdaily.com/feed/,communicationsdaily.com,General,False
IEEE Spectrum,https://spectrum.ieee.org/feeds/feed.rss,spectrum.ieee.org,General,False
MIT Tech Review,https://www.technologyreview.com/feed/,technologyreview.com,General,False
Oped News Telecom,https://www.opednews.com/populum/rss_telecom.php,opednews.com,General,False
Tech Policy Press,https://techpolicy.press/feed/,techpolicy.press,General,False
Protocol,https://www.protocol.com/feeds/feed.rss,protocol.com,General,False
Morning Consult Tech,https://morningconsult.com/feed/,morningconsult.com,General,False
Pew Research Tech,https://www.pewresearch.org/feed/,pewresearch.org,General,False
Government Executive,https://www.govexec.com/rss/all/,govexec.com,General,False
Federal Computer Week,https://fcw.com/rss/rss.ashx,fcw.com,General,False
Defense One Tech,https://www.defenseone.com/rss/technology/,defenseone.com,General,False
Inside Cybersecurity,https://insidecybersecurity.com/rss.xml,insidecybersecurity.com,General,False
Access Intelligence,https://www.accessintel.com/feed/,accessintel.com,General,False
Telecom Ramblings,https://www.telecomramblings.com/feed/,telecomramblings.com,General,True
CircleID,https://www.circleid.com/rss/posts/,circleid.com,General,False
IP Watch,https://www.ip-watch.org/feed/,ip-watch.org,General,False
Multichannel Merchant,https://multichannelmerchant.com/feed/,multichannelmerchant.com,General,False
Satellite Today,https://www.satellitetoday.com/feed/,satellitetoday.com,General,True
Via Satellite,https://www.satellitetoday.com/via-satellite/feed/,satellitetoday.com,General,True
Space News,https://spacenews.com/feed/,spacenews.com,General,True
Broadband Communities,https://www.bbcmag.com/rss/,bbcmag.com,General,False
ISP Review UK,https://www.ispreview.co.uk/index.php/feed,ispreview.co.uk,General,False
Telecom Asia,https://www.telecomasia.net/rss.xml,telecomasia.net,General,False
Telecom Lead,https://www.telecomlead.com/feed,telecomlead.com,General,False
Enterprise Networking Planet,https://www.enterprisenetworkingplanet.com/feed/,enterprisenetworkingplanet.com,General,False
Data Center Knowledge,https://www.datacenterknowledge.com/rss.xml,datacenterknowledge.com,General,False
Fierce Healthcare IT,https://www.fiercehealthcare.com/rss/xml,fiercehealthcare.com,General,False
Fierce Education,https://www.fierceeducation.com/rss/xml,fierceeducation.com,General,False
E-Commerce Times,https://www.ecommercetimes.com/rss-feed/,ecommercetimes.com,General,False
LinuxInsider,https://linuxinsider.com/rss-feed/,linuxinsider.com,General,False
TechNewsWorld,https://www.technewsworld.com/rss-feed/,technewsworld.com,General,False
MacNewsWorld,https://www.macnewsworld.com/rss-feed/,macnewsworld.com,General,False
Tech Republic,https://www.techrepublic.com/rssfeeds/articles/,techrepublic.com,General,False
InformationWeek,https://www.informationweek.com/rss_simple.asp,informationweek.com,General,False
Computerworld,https://www.computerworld.com/index.rss,computerworld.com,General,False
InfoWorld,https://www.infoworld.com/index.rss,infoworld.com,General,False
CSO Online,https://www.csoonline.com/index.rss,csoonline.com,General,False
IT World Canada,https://www.itworldcanada.com/blog/feed,itworldcanada.com,General,False
ZD Net UK,https://www.zdnet.com/topic/networking/rss.xml,zdnet.com,General,False
The Register,https://www.theregister.com/headlines.atom,theregister.com,General,False
Ars UK,https://arstechnica.co.uk/feed/,arstechnica.co.uk,General,False
Hot Hardware,https://hothardware.com/rss/news.aspx,hothardware.com,General,False
Extreme Tech,https://www.extremetech.com/feed,extremetech.com,General,False
Hack Read,https://www.hackread.com/feed/,hackread.com,General,False
Bleeping Computer,https://www.bleepingcomputer.com/feed/,bleepingcomputer.com,General,False
Krebs on Security,https://krebsonsecurity.com/feed/,krebsonsecurity.com,General,False
Threatpost,https://threatpost.com/feed/,threatpost.com,General,False
The Record,https://therecord.media/feed,therecord.media,General,False
CyberWire,https://thecyberwire.com/feeds/rss.xml,thecyberwire.com,General,False
Lawfare,https://www.lawfaremedia.org/feed,lawfaremedia.org,General,False
Just Security,https://www.justsecurity.org/feed/,justsecurity.org,General,False
Above the Law,https://abovethelaw.com/feed/,abovethelaw.com,General,False
JD Supra Telecom,https://www.jdsupra.com/topics/telecommunications/rss/,jdsupra.com,General,False
JD Supra FCC,https://www.jdsupra.com/topics/fcc/rss/,jdsupra.com,General,False
Lexology Telecom,https://www.lexology.com/rss/latest?topic=telecom,lexology.com,General,False
Mondaq Telecom,https://www.mondaq.com/rss/telecommunications/,mondaq.com,General,False
Inside Privacy,https://www.insideprivacy.com/feed/,insideprivacy.com,General,False
IAPP News,https://iapp.org/news/rss/,iapp.org,General,False
Future of Privacy Forum,https://fpf.org/feed/,fpf.org,General,False
CDT,https://cdt.org/feed/,cdt.org,General,False
Free Press,https://freepress.net/rss.xml,freepress.net,General,True
Media Alliance,https://www.media-alliance.org/feed/,media-alliance.org,General,False
Common Cause,https://www.commoncause.org/feed/,commoncause.org,General,False
Consumer Reports Tech,https://www.consumerreports.org/cro/news/index.htm,consumerreports.org,General,False
FTC News,https://www.ftc.gov/feeds/press-release-rss.xml,ftc.gov,General,True
DOJ Press,https://www.justice.gov/feeds/opa/justice-news.xml,justice.gov,General,False
FTC Business,https://www.ftc.gov/feeds/business-guidance.xml,ftc.gov,General,True
NTIA,https://www.ntia.gov/rss.xml,ntia.gov,General,False
USAC,https://www.usac.org/rss/,usac.org,General,False
RUS USDA,https://www.rd.usda.gov/rss/updates,rd.usda.gov,General,False
FCC Watch,https://fccwatch.com/feed/,fccwatch.com,General,False
Communications Lawyer,https://communicationslawyer.net/feed/,communicationslawyer.net,General,False
Telecom Policy,https://telepolicyblog.wordpress.com/feed/,telepolicyblog.wordpress.com,General,False
Technology Liberation Front,https://techliberation.com/feed/,techliberation.com,General,False
Truth on the Market,https://truthonthemarket.com/feed/,truthonthemarket.com,General,False
Competition Policy Intl,https://www.competitionpolicyinternational.com/feed/,competitionpolicyinternational.com,General,False
Reason Tech,https://reason.com/tag/technology/feed/,reason.com,General,False
The American Prospect,https://prospect.org/feeds/rss/,prospect.org,General,False
The Atlantic Tech,https://www.theatlantic.com/feed/channel/technology/,theatlantic.com,General,False
The Nation,https://www.thenation.com/subject/tech/feed/,thenation.com,General,False
Salon Tech,https://www.salon.com/topic/tech/feed,salon.com,General,False
Slate Tech,https://slate.com/technology.rss,slate.com,General,False
Vox Tech,https://www.vox.com/rss/technology/index.xml,vox.com,General,False
Medium Tech Policy,https://medium.com/feed/topic/technology,medium.com,General,False
Substack Broadband,https://broadbandbreakfast.substack.com/feed,broadbandbreakfast.substack.com,General,False
FCC - All Recent Releases,https://www.fcc.gov/rss/releases,fcc.gov,Government,True
FCC - Commissioner Statements,https://www.fcc.gov/rss/commissioner-statements,fcc.gov,Government,True
FCC - Commissioner Speeches,https://www.fcc.gov/rss/speeches,fcc.gov,Government,True
FCC - Orders,https://www.fcc.gov/rss/orders,fcc.gov,Government,True
FCC - Public Notices,https://www.fcc.gov/rss/public-notices,fcc.gov,Government,True
FCC - Notices of Proposed Rules,https://www.fcc.gov/rss/nprm,fcc.gov,Government,True
FCC - Reports,https://www.fcc.gov/rss/reports,fcc.gov,Government,True
FCC - Enforcement Bureau,https://www.fcc.gov/rss/enforcement-bureau,fcc.gov,Government,True
FCC - Media Bureau,https://www.fcc.gov/rss/media-bureau,fcc.gov,Government,True
FCC - Wireless Bureau,https://www.fcc.gov/rss/wireless-telecommunications-bureau,fcc.gov,Government,True
FCC - Wireline Bureau,https://www.fcc.gov/rss/wireline-competition-bureau,fcc.gov,Government,True
FCC - Consumer Affairs Bureau,https://www.fcc.gov/rss/consumer-governmental-affairs-bureau,fcc.gov,Government,True
FCC - Space Bureau,https://www.fcc.gov/rss/space-bureau,fcc.gov,Government,True
FCC - Public Safety Bureau,https://www.fcc.gov/rss/public-safety-homeland-security-bureau,fcc.gov,Government,True
FCC - Office of Engineering,https://www.fcc.gov/rss/office-engineering-technology,fcc.gov,Government,True
FCC - Office of Economics,https://www.fcc.gov/rss/office-economics-analytics,fcc.gov,Government,True
FCC - General Counsel,https://www.fcc.gov/rss/office-general-counsel,fcc.gov,Government,True
FCC - Inspector General,https://www.fcc.gov/rss/office-inspector-general,fcc.gov,Government,True
FCC - Broadcast Actions,https://www.fcc.gov/rss/broadcast-actions,fcc.gov,Government,True
FCC - Broadcast Applications,https://www.fcc.gov/rss/broadcast-applications,fcc.gov,Government,True
FCC - Notices of Liability,https://www.fcc.gov/rss/notices-apparent-liability,fcc.gov,Government,True
FCC - Fact Sheets,https://www.fcc.gov/rss/fact-sheets,fcc.gov,Government,True
FCC - Court Filings,https://www.fcc.gov/rss/court-filings,fcc.gov,Government,True
FCC - International Bureau,https://www.fcc.gov/rss/international-bureau,fcc.gov,Government,True
JD Supra - Broadband,https://www.jdsupra.com/topics/broadband/rss/,jdsupra.com,Policy/Legal,False
JD Supra - Net Neutrality,https://www.jdsupra.com/topics/net-neutrality/rss/,jdsupra.com,Policy/Legal,False
JD Supra - Media Law,https://www.jdsupra.com/topics/media-law/rss/,jdsupra.com,Policy/Legal,False
Competitive Enterprise Inst,https://cei.org/feed/,cei.org,Policy/Legal,False
Heritage Foundation Tech,https://www.heritage.org/technology/rss,heritage.org,Policy/Legal,False
Mercatus Center Tech,https://www.mercatus.org/rss/technology,mercatus.org,Policy/Legal,False
Bipartisan Policy Center,https://bipartisanpolicy.org/feed/,bipartisanpolicy.org,Policy/Legal,False
R Street Institute,https://www.rstreet.org/feed/,rstreet.org,Policy/Legal,False
Government Accountability Office,https://www.gao.gov/rss/reports.xml,gao.gov,Government,True
Senate Commerce Committee,https://www.commerce.senate.gov/rss/feeds/?type=news,commerce.senate.gov,Government,False
House Energy Commerce Comm,https://energycommerce.house.gov/rss.xml,energycommerce.house.gov,Government,False
Congressional Research Service,https://www.everycrsreport.com/feeds/all.rss,everycrsreport.com,Government,False
Anandtech,https://www.anandtech.com/rss/,anandtech.com,Telecom Trade,False
Nextgov - IT,https://www.nextgov.com/rss/technology/,nextgov.com,Telecom Trade,False
StateScoop,https://statescoop.com/feed/,statescoop.com,Telecom Trade,False
EdScoop,https://edscoop.com/feed/,edscoop.com,Telecom Trade,False
CyberScoop,https://cyberscoop.com/feed/,cyberscoop.com,Telecom Trade,False
FedScoop,https://fedscoop.com/feed/,fedscoop.com,Telecom Trade,False
5G Americas,https://www.5gamericas.org/feed/,5gamericas.org,Major News/Wire,False
GSMA News,https://www.gsma.com/newsroom/feed/,gsma.com,Major News/Wire,False
CTIA Blog,https://api.ctia.org/news/feed/,api.ctia.org,Major News/Wire,False
WIA Tower,https://wia.org/feed/,wia.org,Major News/Wire,False
FCC Wireless Bureau,https://www.fcc.gov/wireless-bureau/rss,fcc.gov,Major News/Wire,True
Spectrum Policy News,https://spectropolis.blogspot.com/feeds/posts/default,spectropolis.blogspot.com,Major News/Wire,False
Sasha Javid Spectrum,https://www.spectrumfutures.org/feed/,spectrumfutures.org,Major News/Wire,False
NTIA Spectrum,https://www.ntia.gov/category/spectrum/feed,ntia.gov,Major News/Wire,False
VentureBeat AI,https://venturebeat.com/category/ai/feed/,venturebeat.com,AI/ML,False
AI Now Institute,https://ainowinstitute.org/feed/,ainowinstitute.org,AI/ML,False
Partnership on AI,https://partnershiponai.org/feed/,partnershiponai.org,AI/ML,False
Brookings AI,https://www.brookings.edu/topic/artificial-intelligence/feed/,brookings.edu,AI/ML,False
Stanford HAI,https://hai.stanford.edu/news/rss.xml,hai.stanford.edu,AI/ML,False
NIST AI,https://www.nist.gov/artificial-intelligence/rss.xml,nist.gov,AI/ML,False
Future of Life Institute,https://futureoflife.org/feed/,futureoflife.org,AI/ML,False
Center for AI Safety,https://www.safe.ai/feed,safe.ai,AI/ML,False
AI Policy Weekly,https://aipolicyweekly.substack.com/feed,aipolicyweekly.substack.com,AI/ML,False
Algorithm Watch,https://algorithmwatch.org/en/feed/,algorithmwatch.org,AI/ML,False
The Markup AI,https://themarkup.org/series/automated-influence/feed/,themarkup.org,AI/ML,False
Government AI,https://www.govloop.com/topic/artificial-intelligence/feed/,govloop.com,AI/ML,False
FCW AI,https://fcw.com/artificial-intelligence/rss,fcw.com,AI/ML,False
Nextgov AI,https://www.nextgov.com/artificial-intelligence/rss,nextgov.com,AI/ML,False
Defense One AI,https://www.defenseone.com/topic/artificial-intelligence/rss/,defenseone.com,AI/ML,False
Open Technology Institute,https://www.newamerica.org/oti/feed/,newamerica.org,Policy/Legal,False
Consumer Reports Policy,https://advocacy.consumerreports.org/feed/,advocacy.consumerreports.org,Policy/Legal,False
INCOMPAS,https://www.incompas.org/news/feed/,incompas.org,Policy/Legal,False
USTelecom Blog,https://www.ustelecom.org/feed/,ustelecom.org,Policy/Legal,True
NCTA Internet,https://www.ncta.com/feed,ncta.com,Policy/Legal,False
Multichannel News,https://www.nexttv.com/rss/multichannel-news,nexttv.com,Policy/Legal,False
Wired Business,https://www.wired.com/feed/category/business/latest/rss,wired.com,Policy/Legal,True
The Information,https://www.theinformation.com/feed,theinformation.com,Policy/Legal,False
Recode Vox,https://www.vox.com/recode/rss/index.xml,vox.com,Policy/Legal,False
Business Insider Tech,https://feeds.businessinsider.com/custom/tech,feeds.businessinsider.com,Policy/Legal,False
Wall Street Journal Tech,https://feeds.a.dj.com/rss/RSSWSJD.xml,feeds.a.dj.com,Policy/Legal,True
MeriTalk,https://www.meritalk.com/feed/,meritalk.com,Policy/Legal,False
GovLoop,https://www.govloop.com/feed/,govloop.com,Policy/Legal,False
TechTarget Networking,https://www.techtarget.com/rss/SearchNetworking-News.xml,techtarget.com,Policy/Legal,False
TechTarget Telecom,https://www.techtarget.com/rss/SearchTelecom-News.xml,techtarget.com,Policy/Legal,False
TechTarget Security,https://www.techtarget.com/rss/SearchSecurity-News.xml,techtarget.com,Policy/Legal,False
SearchEnterpriseAI,https://www.techtarget.com/rss/SearchEnterpriseAI-News.xml,techtarget.com,Policy/Legal,False
Current - Public Media,https://current.org/feed/,current.org,Broadcast/Radio,True
RadioInfo,https://www.radioinfo.com.au/rss.xml,radioinfo.com.au,Broadcast/Radio,False
RAIN News - Audio/Radio,https://rainnews.com/feed/,rainnews.com,Broadcast/Radio,False
Jacobin - Media,https://jacobin.com/feed/,jacobin.com,Broadcast/Radio,False
Columbia Journalism Review,https://www.cjr.org/feed,cjr.org,Broadcast/Radio,False
Nieman Lab,https://www.niemanlab.org/feed/,niemanlab.org,Broadcast/Radio,False
Poynter,https://www.poynter.org/feed/,poynter.org,Broadcast/Radio,False
MediaPost,https://www.mediapost.com/rss/,mediapost.com,Broadcast/Radio,True
PR Newswire - Telecom,https://www.prnewswire.com/rss/news-releases-list.rss?tagABCSIC=5700000000,prnewswire.com,Broadcast/Radio,False
Business Wire - Telecom,https://feed.businesswire.com/rss/home/?rss=G1&category=Telecommunications,feed.businesswire.com,Broadcast/Radio,False
Globe Newswire - Telecom,https://www.globenewswire.com/RssFeed/industry/9621-Telecommunications,globenewswire.com,Broadcast/Radio,False
5G Technology World,https://www.5gtechnologyworld.com/feed/,5gtechnologyworld.com,Major News/Wire,False
RCR Wireless 5G,https://www.rcrwireless.com/category/5g/feed,rcrwireless.com,Major News/Wire,True
FierceWireless 5G,https://www.fiercewireless.com/rss/5g-xml,fiercewireless.com,Major News/Wire,True
Light Reading 5G,https://www.lightreading.com/5g/rss.xml,lightreading.com,Major News/Wire,True
Nokia Bell Labs Blog,https://www.bell-labs.com/institute/feed/,bell-labs.com,Major News/Wire,False
Ericsson Blog,https://www.ericsson.com/en/blog/rss,ericsson.com,Major News/Wire,False
Qualcomm Blog,https://www.qualcomm.com/news/blog/rss,qualcomm.com,Major News/Wire,False
T-Mobile Newsroom,https://www.t-mobile.com/news/rss.xml,t-mobile.com,Major News/Wire,False
Verizon News,https://www.verizon.com/about/news/rss,verizon.com,Major News/Wire,False
AT&T Newsroom,https://about.att.com/innovation/rss,about.att.com,Major News/Wire,False
Comcast Newsroom,https://corporate.comcast.com/news-information/news-feed/rss,corporate.comcast.com,Major News/Wire,False
Charter Communications,https://corporate.charter.com/newsroom/rss,corporate.charter.com,Major News/Wire,False
CTIA Wireless,https://www.ctia.org/rss/,ctia.org,Major News/Wire,False
NCTA Cable,https://www.ncta.com/rss.xml,ncta.com,Major News/Wire,False
INCOMPAS,https://www.incompas.org/feed/,incompas.org,Major News/Wire,False
ACA Connects,https://acaconnects.org/feed/,acaconnects.org,Major News/Wire,False
WTA Telecom,https://www.wtaonline.org/feed/,wtaonline.org,Major News/Wire,False
NTCA Rural Broadband,https://www.ntca.org/feed/,ntca.org,Major News/Wire,False
WISPA Wireless ISP,https://www.wispa.org/feed/,wispa.org,Major News/Wire,False
NATE Tower Association,https://www.natehome.com/feed/,natehome.com,Major News/Wire,False
Reuters - Media,https://feeds.reuters.com/reuters/mediaNews,feeds.reuters.com,Major News/Wire,True
AP - Science Tech,https://rsshub.app/apnews/topics/science,rsshub.app,Major News/Wire,False
Bloomberg - Telecom,https://feeds.bloomberg.com/industries/TelecommunicationsServices.rss,feeds.bloomberg.com,Major News/Wire,False
Wall Street Journal - Media,https://feeds.content.dowjones.io/public/rss/mw_media,feeds.content.dowjones.io,Major News/Wire,False
Financial Times - Tech,https://www.ft.com/technology?format=rss,ft.com,Major News/Wire,False
The Guardian - Tech,https://www.theguardian.com/technology/rss,theguardian.com,Major News/Wire,False
BBC - Tech,https://feeds.bbci.co.uk/news/technology/rss.xml,feeds.bbci.co.uk,Major News/Wire,False
Politico - Media,https://www.politico.com/rss/media.xml,politico.com,Major News/Wire,True
Politico - Congress,https://www.politico.com/rss/congress.xml,politico.com,Major News/Wire,True
Ars Technica - Policy,https://feeds.arstechnica.com/arstechnica/tech-policy,feeds.arstechnica.com,Major News/Wire,True
Ars Technica - Telecom,https://feeds.arstechnica.com/arstechnica/telecom,feeds.arstechnica.com,Major News/Wire,True
The Verge - Policy,https://www.theverge.com/rss/policy/index.xml,theverge.com,Major News/Wire,True
TechCrunch - Government,https://techcrunch.com/tag/government/feed/,techcrunch.com,Major News/Wire,True
Axios - Media Trends,https://api.axios.com/feed/axios/media-trends,api.axios.com,Major News/Wire,True
Axios - Technology,https://api.axios.com/feed/axios/technology,api.axios.com,Major News/Wire,True
Axios - Login,https://api.axios.com/feed/axios/login,api.axios.com,Major News/Wire,True
Pew Research - Tech,https://www.pewresearch.org/internet/feed/,pewresearch.org,Major News/Wire,False
Harvard Berkman Center,https://cyber.harvard.edu/feeds/news,cyber.harvard.edu,Major News/Wire,False
Stanford Internet Observatory,https://stacks.stanford.edu/feed,stacks.stanford.edu,Major News/Wire,False
Georgetown Law Tech,https://www.law.georgetown.edu/news/feed/,law.georgetown.edu,Major News/Wire,False
Duke Law Tech,https://law.duke.edu/news/rss/,law.duke.edu,Major News/Wire,False
Yale Law - Tech,https://law.yale.edu/rss/news,law.yale.edu,Major News/Wire,False
George Washington Law,https://www.law.gwu.edu/news/rss,law.gwu.edu,Major News/Wire,False
American University Law,https://www.wcl.american.edu/impact/rss/,wcl.american.edu,Major News/Wire,False
Chicago Tribune,https://www.chicagotribune.com/feed/,chicagotribune.com,General,False
Los Angeles Times,https://www.latimes.com/local/rss2.0.xml,latimes.com,General,False
New York Times (Home),https://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml,rss.nytimes.com,General,True
